[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-24 11:01:11] Saving 865 values; 29658 bytes
[2023-01-24 11:03:05] Saving 865 values; 29658 bytes
[2023-01-24 11:03:12] Saving 865 values; 29658 bytes
[2023-01-24 11:03:35] Saving 865 values; 29658 bytes
[2023-01-24 11:03:51] Saving 865 values; 29658 bytes
[2023-01-24 11:05:09] Saving 865 values; 29658 bytes
[2023-01-24 11:05:24] Saving 865 values; 29658 bytes
[2023-01-24 11:06:05] Saving 865 values; 29658 bytes
[2023-01-24 11:07:37] Saving 865 values; 29658 bytes
[2023-01-24 11:07:53] Saving 865 values; 29658 bytes
[2023-01-24 11:09:23] Saving 865 values; 29658 bytes
[2023-01-24 11:09:33] Saving 865 values; 29658 bytes
[2023-01-24 11:09:53] Saving 865 values; 29658 bytes
[2023-01-24 11:11:15] Saving 866 values; 29685 bytes
[2023-01-24 11:12:00] Saving 866 values; 29685 bytes
[2023-01-24 11:12:03] Saving 866 values; 29685 bytes
[2023-01-24 11:12:05] Saving 867 values; 29727 bytes
[2023-01-24 11:12:10] Saving 867 values; 29727 bytes
[2023-01-24 11:12:17] Saving 867 values; 29727 bytes
[2023-01-24 11:12:17] Saving 867 values; 29727 bytes
[2023-01-24 11:12:17] Saving 867 values; 29727 bytes
[2023-01-24 11:12:18] Saving 867 values; 29727 bytes
[2023-01-24 11:12:23] Saving 867 values; 29727 bytes
[2023-01-24 11:13:54] Saving 867 values; 29749 bytes
[2023-01-24 11:14:19] Saving 867 values; 29749 bytes
[2023-01-24 11:14:20] Saving 867 values; 29749 bytes
[2023-01-24 11:14:26] Saving 867 values; 29749 bytes
[2023-01-24 11:14:29] Saving 867 values; 29749 bytes
[2023-01-24 11:14:29] Saving 867 values; 29749 bytes
[2023-01-24 11:14:29] Saving 867 values; 29749 bytes
[2023-01-24 11:14:29] Saving 867 values; 29749 bytes
[2023-01-24 11:14:32] Saving 867 values; 29749 bytes
[2023-01-24 11:14:32] Saving 867 values; 29792 bytes
[2023-01-24 11:14:32] Saving 867 values; 29792 bytes
[2023-01-24 11:14:35] Saving 869 values; 30092 bytes
[2023-01-24 11:15:30] Saving 869 values; 30661 bytes
[2023-01-24 11:16:30] Saving 869 values; 30661 bytes
[2023-01-24 11:17:46] Saving 869 values; 30705 bytes
[2023-01-24 11:18:32] Saving 869 values; 30727 bytes
[2023-01-24 11:19:38] Saving 869 values; 30727 bytes
[2023-01-24 11:20:37] Saving 869 values; 30726 bytes
[2023-01-24 11:21:44] Saving 869 values; 30741 bytes
[2023-01-24 11:21:54] Saving 869 values; 30741 bytes
[2023-01-24 11:22:49] Saving 869 values; 30741 bytes
[2023-01-24 11:23:19] Saving 869 values; 30741 bytes
[2023-01-24 11:23:44] Saving 869 values; 30741 bytes
[2023-01-24 11:24:24] Saving 869 values; 30741 bytes
[2023-01-24 11:24:30] Saving 869 values; 30741 bytes
[2023-01-24 11:24:59] Saving 870 values; 30769 bytes
